predicted_time,station_name,model_A
2020-06-18 14:25:00,1012 - Jean-Jacques Rousseau - Deux Ecus,20
2020-06-18 14:25:00,1117 - Pont Neuf - Rivoli,19
2020-06-18 14:25:00,2015 - Louis le Grand - Italiens,33
2020-06-18 14:25:00,3004 - Place de la RÃ©publique - Temple,3
2020-06-18 14:25:00,4007 - Place de la Bastille - Bourdon,0
2020-06-18 14:25:00,4104 - Sebastopol - Rambuteau,15
2020-06-18 14:25:00,5016 - Thouin - Cardinal Lemoine,11
2020-06-18 14:25:00,5105 - Geoffroy-Saint-Hilaire - Saint-Marcel,7
2020-06-18 14:25:00,6005 - Montparnasse -  Square Ozanam,7
2020-06-18 14:25:00,6024 - Saint-Germain-des-PrÃ©s,19
2020-06-18 14:25:00,7004 - Raspail - Varenne,17
2020-06-18 14:25:00,7021 - Bosquet - Saint-Dominique,23
2020-06-18 14:25:00,8007 - Rome - Provence,29
2020-06-18 14:25:00,8028 - ArsÃ¨ne Houssaye - Champs-ElysÃ©es,25
2020-06-18 14:25:00,8049 - Georges V - FranÃ§ois 1er,20
2020-06-18 14:25:00,8117 - Place de la Madeleine - Royale,24
2020-06-18 14:25:00,9016 - Choron - Martyrs,7
2020-06-18 14:25:00,9035 - Gare Saint-Lazare - Place de Budapest,4
2020-06-18 14:25:00,10001 - RenÃ© Boulanger - Lancry,12
2020-06-18 14:25:00,10019 - Paradis - Hauteville,21
2020-06-18 14:25:00,10038 - Place du Colonel Fabien,3
2020-06-18 14:25:00,10163 - Gare du Nord - Demarquay,2
2020-06-18 14:25:00,11016 - Philippe-Auguste,7
2020-06-18 14:25:00,11032 - Jean-Pierre Timbaud - Vaucouleurs,3
2020-06-18 14:25:00,11101 - Charles Delescluze,15
2020-06-18 14:25:00,12004 - TraversiÃ¨re - Ledru-Rollin,33
2020-06-18 14:25:00,12024 - Gare de Bercy,10
2020-06-18 14:25:00,12041 - Bois de Vincennes,22
2020-06-18 14:25:00,12122 - Bois de Vincennes - Polygone,4
2020-06-18 14:25:00,12164 - Stade Pershing,0
2020-06-18 14:25:00,13017 - Nationale - Vincent Auriol,1
2020-06-18 14:25:00,13036 - Olympiades,9
2020-06-18 14:25:00,13054 - Pau Casals - Neuve Tolbiac,47
2020-06-18 14:25:00,13122 - Parc de Choisy,2
2020-06-18 14:25:00,14010 - Jean Moulin - Place Victor et HÃ©lÃ¨ne Basch,2
2020-06-18 14:25:00,14030 - Pernety - Raymond Losserand,0
2020-06-18 14:25:00,14117 - Gare Montparnasse - RenÃ© Mouchotte,4
2020-06-18 14:25:00,15001 - Gare Montparnasse - ArrivÃ©e,37
2020-06-18 14:25:00,15020 - Mairie du 15Ã¨me,2
2020-06-18 14:25:00,15036 - Croix Nivert - Square Saint-Lambert,25
2020-06-18 14:25:00,15055 - Vasco de Gama,42
2020-06-18 14:25:00,15102 - Square Bela Bartok,10
2020-06-18 14:25:00,15125 - Parc Suzanne Lenglen,46
2020-06-18 14:25:00,16007 - Longchamp - Place d'IÃ©na,38
2020-06-18 14:25:00,16023 - Passy - Place du Costa Rica,8
2020-06-18 14:25:00,16041 - Versailles - Claude Terrasse,8
2020-06-18 14:25:00,16118 - Michel-Ange - Parent de Rosan,7
2020-06-18 14:25:00,17008 - Porte Pouchet-BessiÃ¨res,7
2020-06-18 14:25:00,17025 - Chazelles - Courcelles,28
2020-06-18 14:25:00,17043 - Belidor - Gouvion-Saint-Cyr,2
2020-06-18 14:25:00,17117 - Pereire - Saussure,3
2020-06-18 14:25:00,18011 - Pajol - Place Herbert,2
2020-06-18 14:25:00,18028 - Championnet - Vauvenargues,3
2020-06-18 14:25:00,18047 - St-Ouen - Lamarck,2
2020-06-18 14:25:00,18139 - Poissonniers - Championnet,12
2020-06-18 14:25:00,19014 - Lorraine - Jean JaurÃ¨s,3
2020-06-18 14:25:00,19033 - Cambrai - Benjamin Constant,5
2020-06-18 14:25:00,19108 - Gaston Tessier - Rosa Parks RER,21
2020-06-18 14:25:00,19128 - Quai de l'Oise - Aisne,1
2020-06-18 14:25:00,20013 - Alexandre Dumas - Place de la RÃ©union,3
2020-06-18 14:25:00,20033 - Etienne Dolet - Place Maurice Chevalier,2
2020-06-18 14:25:00,20106 - Mairie du 20Ã¨me,2
2020-06-18 14:25:00,20132 - RÃ©union - Avron,3
2020-06-18 14:25:00,21009 - Le Corbusier - Jean JaurÃ¨s,25
2020-06-18 14:25:00,21029 - Cours de l'Ile Seguin - Parc Billancourt,15
2020-06-18 14:25:00,21203 - Place Jules Ferry,2
2020-06-18 14:25:00,21307 - Victor Cresson - Telles de la Poterie,15
2020-06-18 14:25:00,21505 - Ã‰douard Vaillant - Place Jean JaurÃ¨s,0
2020-06-18 14:25:00,22003 - Beffroy,22
2020-06-18 14:25:00,22202 - Jean Marin Naudin - Stalingrad,5
2020-06-18 14:25:00,22504 - ChÃ¢teau - RÃ©publique,6
2020-06-18 14:25:00,23011 - Bineau - Louise Michel,18
2020-06-18 14:25:00,24005 - Edith Cavell - Volta,15
2020-06-18 14:25:00,27001 - Square Victor Basch,13
2020-06-18 14:25:00,31017 - Jean Moulin - Paul Doumer,2
2020-06-18 14:25:00,31701 - Mairie de Bagnolet,0
2020-06-18 14:25:00,32014 - Place du Cornillon - Stade de France,10
2020-06-18 14:25:00,33003 - Bordier - FÃ©lix Faure,8
2020-06-18 14:25:00,35002 - Jean JaurÃ¨s - Presles,5
2020-06-18 14:25:00,35019 - Anatole France - Jean Lolive,9
2020-06-18 14:25:00,41302 - Charles de Gaulle - BeautÃ©,11
2020-06-18 14:25:00,42014 - Place Marcel Cachin,20
2020-06-18 14:25:00,42301 - Gare Arcueil - Cachan,17
2020-06-18 14:25:00,43003 - HÃ´pital BÃ©gin,19
2020-06-18 14:25:00,44007 - Camille Groult - Guy MÃ´quet,6
2020-06-18 14:25:00,45004 - RÃ©publique - Louis Loucheur,24
2020-06-18 14:25:00,48007 - Parc DÃ©partemental des Hautes-BruyÃ¨res,13
2020-06-18 14:25:00,1013 - Place du Palais Royal,65
2020-06-18 14:25:00,1119 - Cossonnerie - SÃ©bastopol,20
2020-06-18 14:25:00,2016 - Aboukir - Alexandrie,18
2020-06-18 14:25:00,3005 - Sainte-Elisabeth - Turbigo,10
2020-06-18 14:25:00,4009 - Village Saint-Paul,12
2020-06-18 14:25:00,4107 - Beaumarchais - Pas de la Mule,4
2020-06-18 14:25:00,5018 - MutualitÃ©,15
2020-06-18 14:25:00,5106 - Cujas - Saint-Michel,4
2020-06-18 14:25:00,6006 - Notre-Dame-des-Champs - Stanislas,17
2020-06-18 14:25:00,6025 - Assas - Rennes,7
2020-06-18 14:25:00,7005 - Raspail - Bac,49
2020-06-18 14:25:00,7023 - Bourdonnais - Tour Eiffel,36
2020-06-18 14:25:00,8008 - Joseph Sansboeuf - Saint Lazare,12
2020-06-18 14:25:00,8029 - Place du Canada,34
2020-06-18 14:25:00,8050 - BoÃ©tie - Ponthieu,30
2020-06-18 14:25:00,8549 - George V - Christophe Colomb,23
2020-06-18 14:25:00,9017 - Lallier - Trudaine,4
2020-06-18 14:25:00,9036 - AthÃ¨nes - Clichy,8
2020-06-18 14:25:00,10003 - Hauteville - Bonne Nouvelle,4
2020-06-18 14:25:00,10020 - Chabrol - d'Hauteville,3
2020-06-18 14:25:00,10039 - Sambre et Meuse - Villette,0
2020-06-18 14:25:00,10164 - Claude Vellefaux - Sambre et Meuse,4
2020-06-18 14:25:00,11017 - Charonne - Bureau,2
2020-06-18 14:25:00,11033 - BrÃ©guet - Sabin,5
2020-06-18 14:25:00,11102 - Alexandre Dumas - Voltaire,10
2020-06-18 14:25:00,12005 - Crozatier - Faubourg Saint-Antoine,5
2020-06-18 14:25:00,12026 - Place Ginette Hamelin,33
2020-06-18 14:25:00,12043 - Daumesnil - HÃ©brard,16
2020-06-18 14:25:00,12123 - ChÃ¢teau de Vincennes,21
2020-06-18 14:25:00,12165 - Champs de Manoeuvre - Cartoucherie,0
2020-06-18 14:25:00,13018 - Bruant - Vincent Auriol,18
2020-06-18 14:25:00,13037 - Ivry - Baudricourt,6
2020-06-18 14:25:00,13055 - M.- A. Lagroua Weill-HallÃ© -  F. Dolto,35
2020-06-18 14:25:00,13123 - BibliothÃ¨que Nationale de France,21
2020-06-18 14:25:00,14011 - Place des Droits de l'Enfant,1
2020-06-18 14:25:00,14031 - Didot - Place de Moro-Giafferi,1
2020-06-18 14:25:00,14122 - Colonel Monteil - Brune,3
2020-06-18 14:25:00,15002 - Maine - Antoine Bourdelle,11
2020-06-18 14:25:00,15021 - Joseph Liouville - Croix Nivert,4
2020-06-18 14:25:00,15038 - Place Adolphe Cherioux - Vaugirard,4
2020-06-18 14:25:00,15056 - Place Balard,17
2020-06-18 14:25:00,15103 - Cauchy - CÃ©vennes,50
2020-06-18 14:25:00,15126 - Ernest Renan - Parc des Expositions,33
2020-06-18 14:25:00,16008 - GalilÃ©e - KlÃ©ber,26
2020-06-18 14:25:00,16024 - Ranelagh - Maison de la Radio,11
2020-06-18 14:25:00,16042 - Murat - Porte de Saint-Cloud,18
2020-06-18 14:25:00,16121 - Jardin d'Acclimatation,5
2020-06-18 14:25:00,17009 - Paul Bodin - Clichy,7
2020-06-18 14:25:00,17026 - Jouffroy d'Abbans - Wagram,11
2020-06-18 14:25:00,17044 - Porte de Saint-Ouen - BessiÃ¨res,5
2020-06-18 14:25:00,17119 - Toqueville - Cardinet,6
2020-06-18 14:25:00,18012 - Stephenson - Doudeauville,4
