,prediction,real_values,metrics
2020-05-10 06:00:00,"[7.989554437097062, 7.975886511080207, 7.963332190483296, 7.951951428002873, 7.941799673307407, 7.932927618644569]","[8, 8, 8, 8, 8, 8]",0.045147436298150906
2020-05-10 06:15:00,"[7.907319614147386, 7.896778262849455, 7.887513605896348, 7.879572144101365, 7.872995199633422, 7.867818734965826]","[8, 8, 8, 8, 8, 8]",0.11547189009966806
2020-05-10 06:30:00,"[7.888425515031154, 7.881884506714709, 7.876737858101948, 7.873016114575561, 7.870744217260954, 7.869941405716889]","[8, 8, 8, 8, 8, 8]",0.1233834764404966
2020-05-10 06:45:00,"[7.860400707094124, 7.857969237287753, 7.856999313845249, 7.857504884943126, 7.859494128331623, 7.862969437421644]","[8, 8, 8, 8, 8, 8]",0.14079182578430904
2020-05-10 07:00:00,"[7.867945359719789, 7.869952871150171, 7.873439470208793, 7.878401907530908, 7.884831246021676, 7.892712929653169]","[8, 8, 8, 8, 8, 8]",0.1224259673512243
2020-05-10 07:15:00,"[7.858289558942038, 7.864512139948587, 7.87218183657191, 7.881279054162802, 7.8917788201315915, 7.903650927219817]","[8, 8, 8, 8, 8, 8]",0.12238322516210678
2020-05-10 07:30:00,"[7.859386988535208, 7.869603090729886, 7.881183393171961, 7.8940933960256405, 7.908293762296477, 7.923740523814938]","[8, 8, 8, 8, 8, 8]",0.11279369774479256
2020-05-10 07:45:00,"[7.906798712027926, 7.921052045286312, 7.936545673535116, 7.953231407052352, 7.9710569337411865, 7.989966078810934]","[8, 8, 8, 8, 8, 8]",0.06065117905618611
2020-05-10 08:00:00,"[7.982759036342652, 8.000847660223165, 8.020015822331995, 8.040203582646585, 8.061347736578346, 8.083382115160722]","[8, 8, 8, 8, 8, 8]",0.04660302649130712
2020-05-10 08:15:00,"[7.923610082345847, 7.943621745786787, 7.964523774403234, 7.986249095756579, 8.008728272706716, 8.031889819976072]","[8, 8, 8, 8, 8, 8]",0.043883786641521476
2020-05-10 08:30:00,"[8.035202881283572, 8.058057050807, 8.081591117719112, 8.105731626373753, 8.130403742056407, 8.15553157837236]","[8, 8, 8, 8, 8, 8]",0.10298977224193681
2020-05-10 08:45:00,"[8.007749788443407, 8.031529831441501, 8.055768978508665, 8.080392008530202, 8.105323263934217, 8.130486965169052]","[8, 8, 8, 8, 8, 8]",0.08036072993680132
2020-05-10 09:00:00,"[8.162556540210522, 8.188198148727682, 8.214074776313572, 8.240109743457145, 8.266226858112741, 8.292350718047972]","[8, 8, 8, 8, 8, 8]",0.23154177198015133
2020-05-10 09:15:00,"[8.254904093830795, 8.281242315488061, 8.307597515872194, 8.333895443284362, 8.360063157267534, 8.386029300456757]","[8, 8, 8, 8, 8, 8]",0.32373853491209764
2020-05-10 09:30:00,"[8.2844200982729, 8.310123420862098, 8.335637902164592, 8.360894579612774, 8.385826500683264, 8.410368953733224]","[8, 8, 8, 8, 8, 8]",0.35053145228583465
2020-05-10 09:45:00,"[8.255445057588231, 8.279476057736622, 8.303133759647332, 8.326357334771158, 8.349088505534377, 8.371271724566963]","[8, 8, 8, 8, 8, 8]",0.3166132521574416
2020-05-10 10:00:00,"[8.384529652117536, 8.407843535175381, 8.430623991904481, 8.45281754211967, 8.474373676909751, 8.495244995620624]","[8, 8, 8, 8, 8, 8]",0.44252648554054236
2020-05-10 10:15:00,"[8.44730121832756, 8.468907038446362, 8.489849837430834, 8.510085343609827, 8.529572497032404, 8.54827353984392]","[8, 8, 8, 8, 8, 8]",0.5001904663433299
2020-05-10 10:30:00,"[8.49813871253172, 8.51763985912422, 8.536382017139886, 8.554330745928416, 8.571454887674065, 8.587726613383277]","[8, 8, 8, 8, 8, 8]",0.5451398452989016
2020-05-10 10:45:00,"[8.43722119964965, 8.453395148101993, 8.468744883917518, 8.483247106903331, 8.496881728318575, 8.509631871197708]","[8, 8, 8, 8, 8, 8]",0.47549889000082973
2020-05-10 11:00:00,"[8.467193410665853, 8.48081279440357, 8.493571910471182, 8.505456981034007, 8.516457270559973, 8.52656505352989]","[8, 8, 8, 8, 9, 9]",0.4841667819473325
2020-05-10 11:15:00,"[8.525241802320208, 8.536498732821661, 8.546883348696257, 8.556390657244133, 8.565018461556068, 8.572767302850743]","[8, 9, 9, 8, 8, 8]",0.5248659962079024
2020-05-10 11:30:00,"[8.492816954158958, 8.500948694628454, 8.508203259557943, 8.514584119854682, 8.520097338209778, 8.524751489869976]","[8, 8, 8, 8, 8, 8]",0.5103513302490836
2020-05-10 11:45:00,"[8.532911950946335, 8.538640800724579, 8.543530684360068, 8.547592716956993, 8.550840224331752, 8.55328864765274]","[8, 8, 8, 8, 8, 8]",0.5445128906547521
2020-05-10 12:00:00,"[8.505179133673128, 8.50821556152371, 8.510480468251773, 8.511991442875916, 8.512767829217776, 8.512830621433944]","[8, 8, 8, 8, 8, 9]",0.5060433792689202
2020-05-10 12:15:00,"[8.510583189317451, 8.511455314672101, 8.511637434574093, 8.51115169231494, 8.510021533176497, 8.508271600045779]","[8, 8, 9, 9, 9, 9]",0.49692858518236616
2020-05-10 12:30:00,"[8.494749590851983, 8.493592997120983, 8.491824830128825, 8.489470594371538, 8.486556734366392, 8.4831105340375]","[9, 9, 9, 9, 10, 10]",0.9679938426141815
2020-05-10 12:45:00,"[8.503221809685723, 8.500376603635015, 8.49697881340111, 8.493056534632087, 8.48863861437246, 8.483754552797821]","[9, 10, 10, 10, 10, 10]",1.3909723032591685
2020-05-10 13:00:00,"[8.529879162871222, 8.525526774925297, 8.520657535025169, 8.515301897728248, 8.509491052375878, 8.50325682220908]","[10, 10, 10, 10, 10, 10]",1.48267585882197
2020-05-10 13:15:00,"[8.558635877628435, 8.552874760973738, 8.54662406620416, 8.539916680112572, 8.53278628855147, 8.525267265835934]","[10, 10, 10, 10, 10, 10]",1.4573606056220711
2020-05-10 13:30:00,"[8.571863883598978, 8.564740417359687, 8.557163055134009, 8.549167417750668, 8.540789938779277, 8.53206773657322]","[10, 10, 10, 10, 10, 10]",1.4474319558269044
2020-05-10 13:45:00,"[8.61311787229791, 8.605060836001387, 8.596591609973204, 8.587747907696198, 8.578568249883576, 8.569091815900013]","[10, 10, 10, 10, 9, 9]",1.1688024478029664
2020-05-10 14:00:00,"[8.627550955916181, 8.618363070287394, 8.608818692467777, 8.598958094069458, 8.588822197158414, 8.578452400484911]","[10, 9, 9, 9, 9, 9]",0.6695633047751648
2020-05-10 14:15:00,"[8.650677943307768, 8.640834317124115, 8.630726864175196, 8.620397148199535, 8.609887007127318, 8.599238358062943]","[9, 9, 9, 9, 9, 9]",0.3751188482424579
2020-05-10 14:30:00,"[8.605476147379969, 8.59473800435777, 8.583843755676034, 8.572835720942672, 8.561755982795956, 8.550646172551975]","[9, 9, 9, 9, 9, 9]",0.4222002639442956
2020-05-10 14:45:00,"[8.604248074564971, 8.593360656421991, 8.582424485645975, 8.571480453506922, 8.560568660082254, 8.549728191597973]","[9, 9, 9, 9, 9, 9]",0.42344186104062465
2020-05-10 15:00:00,"[8.53873163959242, 8.527454125645571, 8.516232836255304, 8.505106484628293, 8.494112398580235, 8.483286294368249]","[9, 9, 9, 9, 9, 9]",0.48954633468395725
2020-05-10 15:15:00,"[8.569868484271222, 8.559327976227406, 8.548935312276948, 8.538723925067648, 8.528725314341829, 8.518968836122145]","[9, 9, 9, 9, 9, 9]",0.45624020229453566
2020-05-10 15:30:00,"[8.550596240293693, 8.540580074623936, 8.530782515361878, 8.521230974474527, 8.511950440513917, 8.502963289349111]","[9, 9, 9, 9, 9, 9]",0.4739291611996925
2020-05-10 15:45:00,"[8.516729223191748, 8.50734556720256, 8.498239469683739, 8.489430707108129, 8.480936178598387, 8.472769751487974]","[9, 9, 9, 9, 9, 9]",0.5059813323521726
2020-05-10 16:00:00,"[8.498182221042915, 8.489620105975641, 8.481364774109627, 8.473427537317125, 8.465816523378482, 8.458536564009655]","[9, 9, 9, 9, 9, 9]",0.5223511613691063
2020-05-10 16:15:00,"[8.5050032297244, 8.497527041338376, 8.490360612025249, 8.48350535795054, 8.476959342709291, 8.47071721984015]","[9, 9, 9, 10, 10, 10]",1.1339714757849508
2020-05-10 16:30:00,"[8.504119470134412, 8.497657833243329, 8.49147925188924, 8.48557502546876, 8.479933097757824, 8.474538058949515]","[10, 10, 10, 10, 10, 10]",1.511149999034748
2020-05-10 16:45:00,"[8.561357569937114, 8.556034269165034, 8.55089474803865, 8.545920516169073, 8.54109013885265, 8.536379298138904]","[10, 10, 10, 10, 10, 10]",1.4514122887629333
2020-05-10 17:00:00,"[8.626785857820835, 8.622286341205061, 8.617845690316013, 8.613437012221429, 8.609031042552523, 8.604596260130993]","[10, 10, 10, 10, 10, 10]",1.3843569926497397
2020-05-10 17:15:00,"[8.682348026420032, 8.678246899580303, 8.674057507970417, 8.669746304055675, 8.665278090636704, 8.660616181741075]","[10, 10, 10, 10, 10, 10]",1.3283051831588304
2020-05-10 17:30:00,"[8.67125837466261, 8.66655977557025, 8.661616642720197, 8.65639185996127, 8.650847442650136, 8.644944730053307]","[10, 10, 10, 11, 11, 11]",1.910156595951318
2020-05-10 17:45:00,"[8.733938190666276, 8.72859494833124, 8.72281696564631, 8.716565747407738, 8.709802987016475, 8.702490775333573]","[11, 11, 11, 11, 11, 12]",2.47697803231296
2020-05-10 18:00:00,"[8.813613199430652, 8.807366718604118, 8.80048932726956, 8.792943325159165, 8.78469226018968, 8.775701144881923]","[11, 11, 12, 11, 11, 11]",2.3996871128755974
2020-05-10 18:15:00,"[8.852025006647327, 8.843730155819495, 8.834584809145333, 8.824556844200362, 8.81361663424087, 8.801737242015598]","[11, 11, 11, 11, 11, 11]",2.17169302085952
2020-05-10 18:30:00,"[8.876571062799712, 8.865536641273735, 8.8534684490781, 8.840343592716138, 8.826142733781644, 8.810850238753556]","[11, 11, 11, 11, 11, 11]",2.154631827357274
2020-05-10 18:45:00,"[8.978793678057952, 8.96537684656318, 8.950777897873047, 8.93498454598511, 8.917988970476992, 8.899787913813741]","[11, 11, 11, 11, 11, 11]",2.0588923865169155
2020-05-10 19:00:00,"[8.98132704494138, 8.964160493500476, 8.945698544894292, 8.925944538296807, 8.90490698870543, 8.882599601111938]","[11, 11, 11, 11, 11, 11]",2.066169672669949
2020-05-10 19:15:00,"[9.007132537644917, 8.986476017717374, 8.964461622701394, 8.941107846969544, 8.916438817486497, 8.890484229061222]","[11, 11, 11, 11, 11, 11]",2.0493713231998405
2020-05-10 19:30:00,"[9.012937066164511, 8.988410228777608, 8.962510540737975, 8.935273905296798, 8.906742056886, 8.876962402482608]","[11, 11, 11, 11, 11, 11]",2.053386922068997
2020-05-10 19:45:00,"[8.940067907316124, 8.911030948525966, 8.88066085355306, 8.84901256794467, 8.8161467488105, 8.782129502753284]","[11, 11, 11, 11, 11, 11]",2.137507186744101
2020-05-10 20:00:00,"[8.963497281126038, 8.931237837858276, 8.89773415289936, 8.863057165291114, 8.827283177726546, 8.790493508157542]","[11, 11, 11, 13, 13, 11]",2.951113420767466
2020-05-10 20:15:00,"[8.936290018496205, 8.900710404668814, 8.864026213322681, 8.826323946420732, 8.787694829410906, 8.748234378529437]","[13, 13, 11, 11, 11, 11]",2.9600086763750264
2020-05-10 20:30:00,"[8.9366018196939, 8.898114276992507, 8.858645151321078, 8.818295168500697, 8.777169232017345, 8.735375910429402]","[11, 11, 11, 11, 11, 11]",2.163726380305329
2020-05-10 20:45:00,"[8.88917343454014, 8.848247877102422, 8.806572197853182, 8.764258808856416, 8.721423149068606, 8.678183109707076]","[11, 11, 11, 11, 11, 11]",2.2165301833609963
2020-05-10 21:00:00,"[8.814657459194505, 8.77178621177334, 8.728411912565832, 8.684655249000308, 8.640638711417353, 8.596485974806951]","[11, 11, 11, 11, 11, 11]",2.2951055829385543
2020-05-10 21:15:00,"[8.769672646645613, 8.725984093695045, 8.682066543348686, 8.638044711522857, 8.59404375782032, 8.550188647695585]","[11, 11, 11, 11, 11, 11]",2.341201893637836
2020-05-10 21:30:00,"[8.727198166321658, 8.683420961472745, 8.6396886641191, 8.596125899425076, 8.552856383129184, 8.51000228843848]","[11, 11, 11, 11, 11, 11]",2.3829410188459503
2020-05-10 21:45:00,"[8.669284710148663, 8.626205018239506, 8.583441478992869, 8.541114809027887, 8.499343490244977, 8.458243162180255]","[11, 11, 11, 11, 11, 11]",2.438128334330655
