,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 06:15:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 06:30:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 06:45:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 07:00:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 07:15:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 07:30:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 07:45:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 08:00:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 08:15:00,[7.3471947 7.327716  7.237815  7.3191137 7.1526966 7.321971 ],[7.2866635 7.336558  7.320435  7.348695  7.373508  7.350845 ],[7 7 7 7 7 8],0.3806509768181514,0.4042739305334847
2020-05-10 08:30:00,[8.078536 8.125094 8.013216 8.090982 8.052176 8.158508],[7.9766984 8.039534  8.027113  8.038826  8.058847  8.069903 ],[8 8 8 8 8 8],0.09841769316109414,0.046003519367673315
2020-05-10 08:45:00,[7.362721  7.321605  7.2520413 7.3108225 7.1137757 7.2826853],[7.3275466 7.341277  7.3356676 7.3330345 7.376065  7.3426366],[7 7 7 7 8 8],0.5315175957035018,0.45984841728762604
2020-05-10 09:00:00,[7.019502  7.029332  6.987757  7.027559  7.0538697 7.1100645],[6.9989414 7.1008687 7.0833    7.0894585 7.131108  7.179458 ],[7 7 8 7 7 7],0.41666369623261884,0.38899691426607025
2020-05-10 09:15:00,[7.03019  7.012124 6.981866 6.996543 6.988659 7.055655],[7.0733447 7.143133  7.1324897 7.1194673 7.1681995 7.202997 ],[7 7 7 7 7 7],0.027764863008743763,0.14559729929222082
2020-05-10 09:30:00,[7.038589  7.007212  6.9871244 6.995115  6.974912  7.047152 ],[7.089253  7.123635  7.129769  7.1221704 7.1701083 7.1633396],[7 7 7 7 8 8],0.5716139530439369,0.4905333886377501
2020-05-10 09:45:00,[7.069271  7.025291  7.0013013 7.003199  6.9398417 7.059349 ],[7.1234393 7.1468067 7.1932826 7.18529   7.2694063 7.2482243],[7 8 8 8 8 8],0.9087195245225723,0.7253338891063662
2020-05-10 10:00:00,[8.069137  8.036423  7.9852777 8.031092  7.8895645 8.030498 ],[8.084545 8.09125  8.114941 8.093049 8.110183 8.139067],[8 8 8 8 8 8],0.058332416997001785,0.10710102952214352
2020-05-10 10:15:00,[8.072763  8.0662775 8.002095  8.065215  7.9480157 8.061803 ],[8.017305  8.013161  8.00605   7.982034  7.9886546 7.9971237],[8 8 8 8 8 8],0.05840460785058047,0.012708556869891106
2020-05-10 10:30:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 10:45:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 11:00:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 11:15:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
2020-05-10 11:30:00,[9.17822  9.123533 8.961978 8.984589 8.836335 8.980858],[9.050778 9.015178 9.02859  8.996707 9.011641 9.009506],[9 9 9 8 8 8],0.6682591623521499,0.711754919944943
2020-05-10 11:45:00,[8.081894 8.126281 8.166168 8.235788 8.269133 8.324692],[8.085442  8.122625  8.122365  8.1355505 8.165884  8.155013 ],[8 8 8 8 8 8],0.21745443227965783,0.13368553655690396
2020-05-10 12:00:00,[8.048878  8.056931  7.9888663 8.050823  7.952089  8.066461 ],[8.080502 8.151112 8.143589 8.165344 8.187327 8.217877],[8 8 8 8 8 8],0.05008254478536259,0.16321450413718055
2020-05-10 12:15:00,[8.068428  8.068197  7.9992332 8.067833  7.9600616 8.078059 ],[8.061784  8.095931  8.0902605 8.083049  8.09626   8.130469 ],[8 8 8 8 8 8],0.060032596792312015,0.09517730338505964
