,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[24.215942 23.9783   23.803347 23.392307 23.27509  22.950861],[24.150928 24.063265 23.890316 23.838327 23.71068  23.215317],[25 25 25 25 25 25],1.4634183715872404,1.2265613993746975
2020-05-19 06:15:00,[24.215942 23.9783   23.803347 23.392307 23.27509  22.950861],[24.150928 24.063265 23.890316 23.838327 23.71068  23.215317],[25 25 25 25 25 25],1.4634183715872404,1.2265613993746975
2020-05-19 06:30:00,[24.215942 23.9783   23.803347 23.392307 23.27509  22.950861],[24.150928 24.063265 23.890316 23.838327 23.71068  23.215317],[25 25 25 25 25 25],1.4634183715872404,1.2265613993746975
2020-05-19 06:45:00,[24.215942 23.9783   23.803347 23.392307 23.27509  22.950861],[24.150928 24.063265 23.890316 23.838327 23.71068  23.215317],[25 25 25 25 25 25],1.4634183715872404,1.2265613993746975
2020-05-19 07:00:00,[11.559878 11.72412  11.564008 11.412055 11.79589  12.275346],[11.845823 11.932595 12.170663 11.980287 12.074414 12.061021],[12 12 12 12 12 12],0.3922290074579873,0.1057428647021218
2020-05-19 07:15:00,[11.9253235 11.652569  11.783696  11.843019  11.895957  11.7537565],[12.23821  12.277762 12.188483 12.269122 12.306402 12.265982],[12 12 12 12 12 12],0.21180821983358428,0.26028095159272224
2020-05-19 07:30:00,[11.88002  11.837687 11.82133  11.859952 11.843132 11.770932],[12.122337 12.08453  12.175577 12.063371 12.135232 12.216775],[12 12 12 12 12 12],0.16800636956550244,0.14273166710072543
2020-05-19 07:45:00,[10.721508 10.782214 10.698494 10.745519 10.737902 10.709476],[10.890621 10.844819 10.9221   10.922194 10.877492 10.997954],[11 10 11 11 11 11],0.4078771994438766,0.3542168915892089
2020-05-19 08:00:00,[10.917257  10.934579  10.8931675 10.953881  10.938876  10.879906 ],[11.100485 11.062799 11.102243 11.120359 11.090388 11.209599],[11 11 11 11 11 11],0.08448388519657456,0.12320895313938307
2020-05-19 08:15:00,[9.896554 9.977807 9.898276 9.967167 9.928843 9.930454],[10.118261 10.044181 10.13807  10.114495 10.093878 10.254226],[10 10 10 10 10 10],0.07361987440964707,0.1423341011965627
2020-05-19 08:30:00,[ 9.929575  9.977252  9.946974 10.001071  9.996456  9.94482 ],[10.174226 10.113464 10.161212 10.193841 10.158998 10.314526],[10 10 10 10 10 10],0.04348836640445516,0.19621373895521171
2020-05-19 08:45:00,[9.928741 9.939542 9.934903 9.990526 9.984366 9.932336],[10.187863 10.105066 10.160368 10.176253 10.143228 10.316827],[10 10 10 10 10 10],0.05459421708206936,0.19322183076523003
2020-05-19 09:00:00,[9.384739  9.364375  9.4530735 9.501697  9.543927  9.414442 ],[9.774043 9.691021 9.740005 9.794115 9.743544 9.895922],[9 9 9 9 9 9],0.44821634268248434,0.7757159009907524
