,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[15.235573 15.253126 15.190765 15.174104 15.100076 15.183438],[14.9378   14.859605 14.785399 14.615358 14.656045 14.607511],[15 15 15 15 15 15],0.19576163151453155,0.285754910960605
2020-05-19 06:15:00,[15.235573 15.253126 15.190765 15.174104 15.100076 15.183438],[14.9378   14.859605 14.785399 14.615358 14.656045 14.607511],[15 15 15 15 15 15],0.19576163151453155,0.285754910960605
2020-05-19 06:30:00,[15.235573 15.253126 15.190765 15.174104 15.100076 15.183438],[14.9378   14.859605 14.785399 14.615358 14.656045 14.607511],[15 15 15 15 15 15],0.19576163151453155,0.285754910960605
2020-05-19 06:45:00,[15.235573 15.253126 15.190765 15.174104 15.100076 15.183438],[14.9378   14.859605 14.785399 14.615358 14.656045 14.607511],[15 15 15 15 15 15],0.19576163151453155,0.285754910960605
2020-05-19 07:00:00,[14.223771 14.242831 14.192695 14.184798 14.113078 14.188131],[13.988902 13.91914  13.857036 13.699183 13.747198 13.705259],[14 14 14 14 14 14],0.19515045117708263,0.21149144493400693
2020-05-19 07:15:00,[14.220465 14.257771 14.197708 14.180098 14.11935  14.209133],[13.981386 13.916418 13.847568 13.691774 13.740268 13.694383],[14 14 14 14 14 14],0.2018890700979224,0.2184925228557201
2020-05-19 07:30:00,[14.22003  14.257948 14.197802 14.180959 14.119836 14.210391],[13.942826 13.872692 13.809037 13.656856 13.700969 13.657188],[14 14 14 14 14 14],0.2022567748002829,0.251869836952343
2020-05-19 07:45:00,[14.22003  14.257948 14.197802 14.180959 14.119836 14.210391],[13.942826 13.872692 13.809037 13.656856 13.700969 13.657188],[14 15 15 15 15 15],0.7429195225778626,1.1537725348465797
2020-05-19 08:00:00,[13.240715 13.260876 13.219994 13.231978 13.154749 13.232743],[13.009046  12.95221   12.907266  12.77087   12.8170805 12.7803755],[13 13 13 12 12 12],0.8703705023647409,0.5600316408909721
2020-05-19 08:15:00,[11.183527  11.247291  11.208945  11.2021475 11.173056  11.27192  ],[11.003611 10.977111 10.948232 10.828217 10.891704 10.859871],[11 11 11 11 11 11],0.217273020035658,0.10335273724017041
2020-05-19 08:30:00,[10.142472  10.221679  10.194805  10.1799755 10.172676  10.260416 ],[10.087382 10.073529 10.036935  9.935552  9.998174  9.97566 ],[10 10 10 10 11 11],0.4780567159476264,0.5875780334686957
2020-05-19 08:45:00,[10.140829  10.224602  10.1948395 10.182723  10.176811  10.283697 ],[9.929725 9.916108 9.877626 9.7937   9.845465 9.825614],[10 10 10 10 10 10],0.20549743570745846,0.14364481666149068
2020-05-19 09:00:00,[13.185807  13.2855215 13.207356  13.179055  13.147995  13.31041  ],[12.749256  12.7017975 12.629129  12.511745  12.550051  12.507287 ],[13 13 13 13 13 14],0.338757985957278,0.702184815244605
2020-05-19 09:15:00,[15.227435  15.275988  15.198274  15.174802  15.111645  15.2225275],[14.758031 14.670756 14.604994 14.462414 14.483399 14.44338 ],[15 16 16 16 16 16],0.7408639486416554,1.3452876694783769
2020-05-19 09:30:00,[18.201094 18.213257 18.119516 18.074434 18.006773 18.084349],[17.763163 17.642677 17.549261 17.349531 17.354424 17.298231],[18 18 18 18 18 18],0.13717527847994535,0.5353029131110663
2020-05-19 09:45:00,[19.20961  19.183548 19.129784 19.056261 18.996645 18.948122],[18.876892 18.742117 18.647257 18.420069 18.424486 18.364672],[19 20 20 20 19 19],0.6273160487015086,1.0534372635811589
2020-05-19 10:00:00,[19.207909 19.149984 19.089617 19.062944 18.966944 19.000553],[18.84975  18.745749 18.627272 18.39981  18.404556 18.346685],[19 18 18 18 18 18],0.9677200295303016,0.48577956389424964
2020-05-19 10:15:00,[18.229963 18.181767 18.127754 18.101725 18.005247 18.047226],[17.919685 17.831453 17.718782 17.495096 17.517687 17.463186],[18 18 18 18 18 18],0.13835283715135355,0.38506807963946793
2020-05-19 10:30:00,[15.31434  15.256608 15.234757 15.266616 15.138702 15.199133],[15.062333  15.014174  14.932006  14.748057  14.797149  14.7540455],[15 15 15 15 15 15],0.2414347462868614,0.17020913291185602
2020-05-19 10:45:00,[13.188859  13.139624  13.106386  13.212566  13.0392275 13.351158 ],[13.038663  13.008772  12.930899  12.785371  12.8495245 12.805916 ],[13 13 13 13 13 13],0.19854294192282132,0.13706688386471103
