,prediction,real_values,metrics
2020-05-10 06:00:00,"[20.37523285918511, 20.331009157934684, 20.28523155336558, 20.237786723738292, 20.188580869153522, 20.13754096690215]","[20, 20, 20, 21, 21, 21]",0.6211453759614224
2020-05-10 06:15:00,"[20.164761718424685, 20.11496627092086, 20.063354737514747, 20.00987679247198, 19.95450480127643, 19.897234566889825]","[21, 21, 21, 20, 20, 20]",0.6286148973114669
2020-05-10 06:30:00,"[20.11114155315601, 20.056499473770394, 19.999919771627663, 19.941421569926046, 19.881048593256896, 19.818869346989818]","[20, 20, 20, 21, 21, 21]",0.794067042148764
2020-05-10 06:45:00,"[19.837424055377653, 19.776024002462524, 19.71281996691339, 19.64790712031422, 19.5814051359101, 19.51345775827229]","[21, 21, 21, 21, 22, 22]",1.7496276317612343
2020-05-10 07:00:00,"[19.784934333494043, 19.719320939655383, 19.652205867414725, 19.58375522368927, 19.514158062162913, 19.44362537056833]","[21, 22, 22, 22, 22, 22]",2.2635782529797908
2020-05-10 07:15:00,"[19.544407760553096, 19.47403927145412, 19.402648468334327, 19.330469484535445, 19.257756286897646, 19.184781109003765]","[22, 22, 22, 22, 22, 22]",2.637182745118416
2020-05-10 07:30:00,"[19.401312412138946, 19.328543702944295, 19.25539622030905, 19.182160243994936, 19.109141372129827, 19.036658486067306]","[22, 22, 22, 22, 23, 23]",3.1678011180873367
2020-05-10 07:45:00,"[19.147031142247936, 19.0727925435539, 18.998970411931275, 18.925898579093584, 18.853920335070192, 18.78338602345421]","[22, 23, 23, 23, 23, 22]",3.735092857474814
2020-05-10 08:00:00,"[19.156485330956453, 19.08602389746917, 19.016842046170062, 18.949293637474582, 18.883735482892874, 18.820524738966053]","[23, 23, 22, 22, 22, 22]",3.369421862038428
2020-05-10 08:15:00,"[18.851814330409642, 18.7842814671445, 18.71893452932358, 18.65613456193254, 18.596238498268775, 18.53959645960382]","[22, 22, 22, 21, 21, 21]",2.83850516546403
2020-05-10 08:30:00,"[19.09457618674355, 19.038075155893193, 18.98468007943217, 18.934726283492033, 18.888537879924417, 18.84642520230362]","[21, 21, 21, 21, 21, 21]",2.0372700525528233
2020-05-10 08:45:00,"[18.707657105154052, 18.658950147585248, 18.614233161167398, 18.573805650908593, 18.537948836544516, 18.506923318940487]","[21, 21, 21, 21, 21, 21]",2.4010685141201007
2020-05-10 09:00:00,"[18.91556599078525, 18.88220406496184, 18.853575089564288, 18.829913885506176, 18.81143098085125, 18.79831070830979]","[21, 21, 21, 21, 21, 21]",2.1518832252399354
2020-05-10 09:15:00,"[18.924744283986623, 18.906509478063786, 18.893543084921802, 18.886001806662183, 18.884013368838254, 18.887675151830628]","[21, 21, 21, 21, 21, 21]",2.102968284601881
2020-05-10 09:30:00,"[18.820169485785907, 18.817132478823442, 18.819646546026405, 18.82778034509932, 18.841570602545787, 18.86102135620736]","[21, 21, 21, 21, 22, 22]",2.543551135846203
2020-05-10 09:45:00,"[18.92724836098772, 18.941441772064156, 18.961194611680114, 18.98647815411862, 19.01723072425654, 19.05335761442795]","[21, 22, 22, 22, 22, 22]",2.8736255785783165
2020-05-10 10:00:00,"[19.158182400308583, 19.189787852062878, 19.226654413354925, 19.2686540765742, 19.315626956480706, 19.36738189363378]","[22, 22, 22, 22, 22, 21]",2.6139439040370767
2020-05-10 10:15:00,"[19.298782728329037, 19.34520397871093, 19.39627491256769, 19.45177627172641, 19.511460114349745, 19.575051050540107]","[22, 22, 21, 21, 21, 21]",1.9815683196235192
2020-05-10 10:30:00,"[19.72722926874992, 19.789008816111984, 19.854605525026315, 19.923715496509267, 19.996010986001824, 20.071142220911113]","[21, 21, 21, 20, 20, 21]",0.9369263130542915
2020-05-10 10:45:00,"[19.69727735819989, 19.76713905575665, 19.839766517368403, 19.914794617824253, 19.991840644330647, 20.07050654042846]","[20, 20, 21, 21, 21, 22]",1.111231146813298
2020-05-10 11:00:00,"[19.901642977308125, 19.978572024928763, 20.057093324237233, 20.13679609849805, 20.217259209547404, 20.29805371353938]","[21, 21, 22, 23, 25, 26]",3.406105476743084
2020-05-10 11:15:00,"[20.142138066813764, 20.22228268423855, 20.302694386772078, 20.382940000970134, 20.46258420584444, 20.5411922392381]","[23, 25, 26, 26, 25, 25]",4.751731624684915
2020-05-10 11:30:00,"[20.487680621746183, 20.56729964330185, 20.6456797436663, 20.722391749154937, 20.79701361564233, 20.869133099462353]","[26, 25, 25, 26, 26, 26]",5.004075232432968
2020-05-10 11:45:00,"[21.22957605640196, 21.30769376419124, 21.383116054434762, 21.45543882294221, 21.52427408190837, 21.589252442439154]","[26, 26, 26, 26, 25, 25]",4.290633318252745
2020-05-10 12:00:00,"[21.52216837152116, 21.590462345545784, 21.654682251403717, 21.71448317866234, 21.769544596350062, 21.819572427125447]","[26, 25, 25, 25, 25, 25]",3.5169270770988037
2020-05-10 12:15:00,"[21.827864017969425, 21.882962072473315, 21.93286337721387, 21.977304411208163, 22.01605269771767, 22.04890832826621]","[25, 25, 25, 23, 22, 23]",2.2780268698096497
2020-05-10 12:30:00,"[22.14697632791855, 22.18655859950206, 22.220096288865715, 22.247422885957175, 22.268407723110947, 22.28295685259659]","[23, 22, 23, 24, 25, 26]",2.0704361844108177
2020-05-10 12:45:00,"[22.240884082337434, 22.26182723778824, 22.276329672855795, 22.284334217864764, 22.285821486787256, 22.280810046955125]","[24, 25, 26, 26, 27, 29]",4.195929862712456
2020-05-10 13:00:00,"[22.48231531348002, 22.48465669690968, 22.480366849469096, 22.46950217320556, 22.45215736276621, 22.42846484363023]","[26, 27, 29, 29, 28, 28]",5.473207635198664
2020-05-10 13:15:00,"[22.532091044415765, 22.514308276781165, 22.489962257140807, 22.45922571990469, 22.422308501329994, 22.37945624566199]","[29, 28, 28, 28, 29, 29]",6.056470101544251
2020-05-10 13:30:00,"[22.67487200021364, 22.638461395582556, 22.59585189668387, 22.54732506772129, 22.49319648447291, 22.43381377313321]","[28, 29, 29, 29, 29, 26]",5.867033102213842
2020-05-10 13:45:00,"[22.72744910764613, 22.673743469597586, 22.614508737538788, 22.55012464550126, 22.48100001556863, 22.407570218916412]","[29, 29, 26, 19, 19, 17]",4.912408256197185
2020-05-10 14:00:00,"[22.71930725390989, 22.65018075396294, 22.576507676966134, 22.498750196333194, 22.417392827093796, 22.332939433099103]","[19, 19, 17, 17, 15, 14]",5.957437277969519
2020-05-10 14:15:00,"[22.44192687703844, 22.36097676807817, 22.277126344118134, 22.190892709081176, 22.102804957729298, 22.01340094257861]","[17, 15, 14, 13, 13, 13]",8.173986492441472
2020-05-10 14:30:00,"[21.859454232578187, 21.770076675104118, 21.679693319585503, 21.58884637150789, 21.498078498618646, 21.407929571634696]","[13, 13, 13, 14, 13, 13]",8.47783833895776
2020-05-10 14:45:00,"[21.387980712406765, 21.29787880862237, 21.20879200819938, 21.12124881701351, 21.035766409413114, 20.9528476018562]","[14, 13, 13, 11, 13, 13]",8.377373517838153
2020-05-10 15:00:00,"[20.847507572806432, 20.761395364092575, 20.678194885788024, 20.5983889588447, 20.522438438018913, 20.45077962547667]","[11, 13, 13, 11, 11, 11]",9.021183219131474
2020-05-10 15:15:00,"[20.299526074034105, 20.22269783323405, 20.15054221723153, 20.083465519161244, 20.021842730729446, 19.96601558565232]","[11, 11, 11, 11, 11, 11]",9.124730050546555
2020-05-10 15:30:00,"[19.749877542881094, 19.687615176599493, 19.631556019160435, 19.582004136116012, 19.539224905229457, 19.50344383932999]","[11, 11, 11, 10, 10, 10]",9.125658274415011
2020-05-10 15:45:00,"[19.2396645841144, 19.19595204918876, 19.159613350138205, 19.130830094798156, 19.109740492239062, 19.096439056413573]","[10, 10, 10, 9, 10, 10]",9.329181334166835
