,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[3.1044405 3.1069195 3.1255596 3.1414068 3.1643636 3.088596 ],[2.9072106 2.9178164 2.97708   2.9826772 2.9926379 2.958854 ],[3 3 3 3 3 3],0.12447579716458751,0.0546757359488504
2020-05-10 06:15:00,[2.2050135 2.2007768 2.3449185 2.3353202 2.4344418 2.323457 ],[2.0287998 2.051688  2.1121476 2.1364887 2.2028687 2.1329424],[2 2 2 2 2 2],0.3180970524437245,0.12485772506075847
2020-05-10 06:30:00,[2.2403271 2.2200992 2.2346284 2.2858632 2.3408606 2.300367 ],[1.9650724 1.9812853 2.0523913 2.061231  2.0836003 2.0333774],[2 2 2 2 2 2],0.27367115164592526,0.05190906363862126
2020-05-10 06:45:00,[2.236019  2.2147048 2.2292807 2.2780273 2.33418   2.2935588],[1.9906785 2.0030282 2.0792482 2.0802662 2.1261032 2.0712674],[2 2 2 2 2 2],0.26755840852135293,0.07505558917206745
2020-05-10 07:00:00,[2.2358558 2.2140167 2.2294881 2.2779481 2.333535  2.2932432],[1.9980977 2.0240467 2.106303  2.1244943 2.1834981 2.1343715],[2 2 2 2 2 2],0.2672664715284846,0.11482471560826221
2020-05-10 07:15:00,[1.4398816 1.403383  1.4147084 1.5121667 1.5886238 1.6176007],[1.1038806 1.1429322 1.2329819 1.2646472 1.3405621 1.2784207],[1 1 1 1 1 1],0.5030606301004462,0.24119154255838346
2020-05-10 07:30:00,[1.4263308 1.3957226 1.3842757 1.4843066 1.5714695 1.5977108],[1.1114805 1.1435401 1.2328203 1.2565677 1.3366191 1.2702706],[1 1 1 1 1 1],0.4838062118659794,0.23784538948512784
2020-05-10 07:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 08:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 08:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 08:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 08:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 09:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 09:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 09:30:00,[1.4381759 1.4019425 1.39135   1.4912026 1.5739605 1.6051514],[1.1622274 1.2059801 1.3120983 1.347347  1.4501183 1.3900287],[1 1 1 1 1 1],0.49051498003448335,0.3269887048018356
2020-05-10 09:45:00,[1.4258873 1.3942688 1.3842328 1.4835665 1.5704658 1.5967758],[1.1278126 1.1685617 1.2748258 1.3081062 1.4147708 1.3508456],[1 1 1 1 1 1],0.4830237791789992,0.2916433977031747
2020-05-10 10:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 10:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 10:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 10:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 11:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 11:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 11:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 11:45:00,[2.2726834 2.2497728 2.0984805 2.2060769 2.239815  2.3050697],[1.9768655 2.005017  2.1095445 2.126981  2.1729968 2.1441438],[2 2 2 2 2 2],0.2378681327119211,0.11502889079445146
2020-05-10 12:00:00,[2.2319252 2.2098362 2.2234714 2.2695224 2.3287752 2.286576 ],[2.0226972 2.0545595 2.1550262 2.1810744 2.2693899 2.2196634],[2 2 2 2 2 2],0.26160444422192036,0.17375070954637678
2020-05-10 12:15:00,[2.2357142 2.2133949 2.229674  2.2778409 2.3329818 2.2929423],[2.003976  2.0421064 2.1332824 2.1670468 2.2373984 2.1927474],[2 2 2 2 2 2],0.26700073910456856,0.15327922594176263
2020-05-10 12:30:00,[2.2358558 2.2140167 2.2294881 2.2779481 2.333535  2.2932432],[1.9980977 2.0240467 2.106303  2.1244943 2.1834981 2.1343715],[2 2 2 2 2 2],0.2672664715284846,0.11482471560826221
2020-05-10 12:45:00,[1.4692891 1.4216177 1.4312174 1.52999   1.5947902 1.6388838],[1.1862037 1.2355611 1.3243954 1.3630865 1.4271834 1.378833 ],[1 1 1 1 1 1],0.5207013751174904,0.32995584814489026
2020-05-10 13:00:00,[1.4265835 1.3960984 1.384948  1.4852483 1.5719526 1.5984085],[1.1086571 1.1415637 1.2302597 1.2543232 1.3323452 1.2679889],[1 1 1 1 1 1],0.4843794628818141,0.23516585814746752
2020-05-10 13:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 13:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 13:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 14:00:00,[2.2726834 2.2497728 2.0984805 2.2060769 2.239815  2.3050697],[1.9768655 2.005017  2.1095445 2.126981  2.1729968 2.1441438],[2 2 2 2 2 2],0.2378681327119211,0.11502889079445146
2020-05-10 14:15:00,[2.2319252 2.2098362 2.2234714 2.2695224 2.3287752 2.286576 ],[2.0226972 2.0545595 2.1550262 2.1810744 2.2693899 2.2196634],[2 2 2 2 2 2],0.26160444422192036,0.17375070954637678
2020-05-10 14:30:00,[1.4672554 1.4212067 1.4354699 1.5337541 1.6011546 1.638735 ],[1.1733892 1.2299006 1.328922  1.3793166 1.4595759 1.4076998],[1 1 1 1 1 1],0.5227554237878601,0.34458139040884467
2020-05-10 14:45:00,[1.4264686 1.395961  1.3846333 1.4848511 1.5717456 1.598119 ],[1.1097281 1.1424243 1.23125   1.2552502 1.3337266 1.268811 ],[1 1 1 1 1 1],0.48413556069269736,0.23614509199976166
2020-05-10 15:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 15:15:00,[0.6804822  0.64386207 0.62437755 0.7700575  0.8673671  1.0029423 ],[0.36261445 0.42674333 0.5327533  0.58530456 0.7055524  0.64537364],[0 0 0 0 0 0],0.7766025631898675,0.5559253440312869
2020-05-10 15:30:00,[0.6608384  0.6462572  0.5991848  0.7476075  0.86424476 0.98901016],[0.2880996  0.33710557 0.44565088 0.4859541  0.6187404  0.54386264],[0 0 0 0 0 0],0.763474008179138,0.46726578169400923
2020-05-10 15:45:00,[0.66043407 0.645356   0.5981701  0.7460006  0.86357576 0.98774606],[0.3002389  0.3544281  0.48683006 0.5348328  0.6897586  0.61339265],[0 1 1 1 1 1],0.36667202104088203,0.45320072282891344
2020-05-10 16:00:00,[2.1761358 2.1769297 2.1643903 2.2071903 2.300545  2.2316597],[1.962939  1.9805372 2.1037767 2.1200883 2.245978  2.179054 ],[2 2 2 2 2 2],0.2145823081887035,0.14113156122313136
2020-05-10 16:15:00,[2.2345216 2.2111232 2.228554  2.2748096 2.3309658 2.2904522],[2.0249498 2.0675337 2.1851451 2.2241066 2.3242652 2.278405 ],[2 2 2 2 2 2],0.2649627331857062,0.21305047491936663
2020-05-10 16:30:00,[1.4674327 1.4219811 1.4353092 1.5338295 1.6017458 1.639086 ],[1.1675284 1.2117937 1.3019698 1.3368328 1.4055884 1.349294 ],[1 1 1 1 1 1],0.5230612381587006,0.30661391803445465
2020-05-10 16:45:00,[1.4264686 1.395961  1.3846333 1.4848511 1.5717456 1.598119 ],[1.1097281 1.1424243 1.23125   1.2552502 1.3337266 1.268811 ],[1 1 1 1 1 1],0.48413556069269736,0.23614509199976166
2020-05-10 17:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 17:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 17:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 17:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 18:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 18:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 18:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 18:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 19:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 19:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 19:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 19:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 20:00:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 20:15:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 20:30:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
2020-05-10 20:45:00,[1.4258158 1.3941753 1.3839877 1.4832389 1.5703404 1.5965478],[1.1285932 1.169038  1.2755888 1.3087895 1.4159644 1.3514764],[1 1 1 1 1 1],0.4828417896446313,0.29239591359748496
