,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-10 06:00:00,[17.27013  17.0583   16.100208 16.504654 16.713892 15.397002],[17.165861 16.646996 16.360168 16.774677 16.562057 16.5451  ],[18 18 18 18 18 18],1.6173253925752433,1.3479173313291428
2020-05-10 06:15:00,[17.43478  17.203968 16.37619  16.883007 16.897018 15.792752],[17.695807 17.27064  17.05681  17.556837 17.300463 17.50181 ],[18 18 18 18 18 18],1.3494494459240092,0.6387548013596679
2020-05-10 06:30:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 06:45:00,[18.434973 18.255163 17.691647 17.961468 17.915545 17.10091 ],[18.550694 17.977917 17.693932 18.164808 17.748327 17.964117],[19 19 19 19 19 19],1.1865188162543325,1.0238512783694422
2020-05-10 07:00:00,[18.75712  18.578703 18.53252  18.813309 18.38524  18.3619  ],[18.53904  18.214785 18.219034 18.410559 18.359486 18.597816],[19 19 19 19 19 19],0.4609723653774284,0.6269511623951416
2020-05-10 07:15:00,[18.82302  18.686882 18.72088  19.102318 18.531199 18.775175],[18.69994  18.393635 18.380934 18.600115 18.493252 18.871168],[19 19 19 19 19 19],0.28520816002236804,0.4608429734200117
2020-05-10 07:30:00,[18.82302  18.686882 18.72088  19.102318 18.531199 18.775175],[18.69994  18.393635 18.380934 18.600115 18.493252 18.871168],[19 19 19 19 19 19],0.28520816002236804,0.4608429734200117
2020-05-10 07:45:00,[18.82302  18.686882 18.72088  19.102318 18.531199 18.775175],[18.69994  18.393635 18.380934 18.600115 18.493252 18.871168],[19 19 19 19 19 19],0.28520816002236804,0.4608429734200117
2020-05-10 08:00:00,[17.98332  17.771559 17.917767 18.465912 17.700745 18.086077],[17.661951 17.546993 17.550032 17.830149 17.805162 18.187153],[18 18 18 18 18 18],0.24942026067587317,0.32243889239322227
2020-05-10 08:15:00,[17.806406 17.535957 17.67414  17.975306 17.424747 17.459524],[17.922733 17.579527 17.36043  17.893557 17.551481 17.96942 ],[18 18 18 18 18 18],0.40468872549037105,0.36634507736638194
2020-05-10 08:30:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 08:45:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 09:00:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 09:15:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 09:30:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 09:45:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 10:00:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 10:15:00,[17.546005 17.308252 16.70244  17.14868  17.025772 16.186338],[17.693298 17.26783  17.034256 17.546185 17.256203 17.509434],[18 18 18 18 18 18],1.1054050432858111,0.6535338078892907
2020-05-10 10:30:00,[16.622843 16.349257 15.721294 16.27885  16.145369 15.294401],[16.925442 16.637333 16.434841 16.972565 16.793076 17.079735],[17 17 17 17 17 17],1.029589029126907,0.2905222091860538
2020-05-10 10:45:00,[16.377434 16.180277 15.426176 15.776376 15.912262 14.86278 ],[16.798971 16.294897 15.980976 16.553638 16.215355 16.46128 ],[17 17 17 17 17 17],1.3406837637467564,0.6684705548267653
2020-05-10 11:00:00,[16.337513 16.184269 15.486041 15.670994 15.857677 14.888628],[16.670734 16.16637  15.878617 16.371862 16.15281  16.270452],[17 17 17 17 17 17],1.3494089942722778,0.7858521997207882
2020-05-10 11:15:00,[16.337513 16.184269 15.486041 15.670994 15.857677 14.888628],[16.670734 16.16637  15.878617 16.371862 16.15281  16.270452],[17 17 17 17 17 17],1.3494089942722778,0.7858521997207882
2020-05-10 11:30:00,[16.337513 16.184269 15.486041 15.670994 15.857677 14.888628],[16.670734 16.16637  15.878617 16.371862 16.15281  16.270452],[17 17 17 17 17 17],1.3494089942722778,0.7858521997207882
2020-05-10 11:45:00,[16.337513 16.184269 15.486041 15.670994 15.857677 14.888628],[16.670734 16.16637  15.878617 16.371862 16.15281  16.270452],[17 17 17 17 17 17],1.3494089942722778,0.7858521997207882
2020-05-10 12:00:00,[16.917288 16.809402 15.967997 16.162348 16.272371 15.316616],[17.204687 16.643663 16.406233 16.82892  16.629883 16.763424],[18 17 17 17 17 17],1.0278221590877332,0.4715720183529225
2020-05-10 12:15:00,[16.334873  16.17705   15.468531  15.673553  15.857497  14.8736315],[16.706377 16.216509 15.933798 16.428179 16.221838 16.343863],[17 16 15 15 15 15],0.5624656966774111,1.028236207146753
2020-05-10 12:30:00,[14.635437 14.688823 14.505267 14.279184 14.390981 14.242498],[15.188312 14.843567 14.628253 15.069929 14.874136 15.080891],[15 15 15 15 15 15],0.5684461904934699,0.1938227477192355
2020-05-10 12:45:00,[13.892301  13.988624  13.90448   13.7379265 13.749938  13.870431 ],[14.120058 13.889712 13.813212 13.949921 13.987547 14.117877],[14 14 14 14 14 14],0.16775692824454108,0.11403575845963859
2020-05-10 13:00:00,[13.887378 13.964832 13.87035  13.803115 13.796    13.894266],[13.982431 13.782098 13.716653 13.817387 13.804131 13.890311],[14 14 14 14 14 14],0.14276395650048065,0.18789168883635807
2020-05-10 13:15:00,[13.897255 13.953963 13.860007 13.825374 13.805464 13.880346],[13.964043  13.7771225 13.724169  13.817444  13.795799  13.85587  ],[14 14 14 14 14 14],0.1384013447605708,0.19272097838583674
2020-05-10 13:30:00,[13.897255 13.953963 13.860007 13.825374 13.805464 13.880346],[13.964043  13.7771225 13.724169  13.817444  13.795799  13.85587  ],[14 14 14 14 14 14],0.1384013447605708,0.19272097838583674
