,prediction_A,prediction_B,real_values,metrics_A,metrics_B
2020-05-19 06:00:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 06:15:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 06:30:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 06:45:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 07:00:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 07:15:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 07:30:00,[22.099195 22.035023 21.94602  21.903    21.829676 21.82574 ],[21.850079 21.747366 21.58153  21.297995 21.28138  21.21746 ],[22 22 22 21 21 21],0.6054748217496129,0.2818635328069384
2020-05-19 07:45:00,[20.19836  20.087622 20.053242 20.04031  19.923483 19.928543],[19.90406  19.819324 19.675604 19.41446  19.417562 19.368885],[20 20 20 20 20 20],0.10201711727192034,0.4523049212075885
2020-05-19 08:00:00,[21.120434 21.068941 20.990116 20.93127  20.860426 20.86272 ],[20.944933 20.852402 20.684858 20.407074 20.413752 20.353235],[21 21 21 21 21 21],0.10198462365751174,0.45418150023928544
2020-05-19 08:15:00,[22.100061 22.042242 21.982903 21.8967   21.847818 21.751486],[21.923746 21.801859 21.641958 21.349928 21.342594 21.279016],[22 22 22 21 21 21],0.59156384027746,0.286047474310618
2020-05-19 08:30:00,[21.145493 21.061249 20.99903  20.965218 20.87335  20.87274 ],[20.861547 20.76414  20.610909 20.343107 20.33421  20.277193],[21 21 21 21 21 22],0.467775946671365,0.8235128543004978
2020-05-19 08:45:00,[22.100441 22.030672 21.944584 21.905312 21.828709 21.823322],[21.853844 21.75283  21.586332 21.303396 21.285717 21.224066],[22 22 22 22 22 22],0.11805489217191799,0.555443710932391
2020-05-19 09:00:00,[21.160677 21.050734 21.00157  20.986858 20.878384 20.87591 ],[20.865547 20.773067 20.620415 20.347925 20.337236 20.285559],[21 21 21 21 21 21],0.09895711351790368,0.5145458228734189
2020-05-19 09:15:00,[21.146372 21.063799 21.00158  20.965067 20.874609 20.873959],[20.914711 20.828163 20.666113 20.38782  20.387615 20.332558],[21 21 21 21 21 21],0.09859612334510665,0.4732057914669695
2020-05-19 09:30:00,[21.145199 21.065382 21.000013 20.964518 20.874987 20.87659 ],[20.883646 20.790258 20.63131  20.354927 20.352276 20.295809],[21 21 21 21 21 21],0.09787295503118179,0.5041516623857888
2020-05-19 09:45:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 10:00:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 10:15:00,[21.145166 21.065376 20.999985 20.964506 20.874989 20.876608],[20.878706 20.783777 20.627163 20.354908 20.35001  20.292528],[21 21 21 21 21 21],0.0978609791880404,0.5065601683076656
2020-05-19 10:30:00,[20.187592 20.091204 20.047937 20.026436 19.918736 19.925245],[19.91352  19.826702 19.680237 19.42037  19.425726 19.375343],[20 21 21 21 21 21],0.9164771582247285,1.3378440485991083
2020-05-19 10:45:00,[22.097313 22.041714 21.946596 21.90048  21.831408 21.83147 ],[21.854834 21.752306 21.58517  21.303139 21.287401 21.22168 ],[22 22 22 22 22 22],0.11603993504912954,0.5558333238452963
2020-05-19 11:00:00,[22.101608 22.01848  21.941898 21.907587 21.8242   21.81243 ],[21.811686 21.701885 21.544458 21.262827 21.238783 21.178963],[22 22 22 22 22 22],0.12156630001945509,0.5956552124200116
2020-05-19 11:15:00,[22.10279  22.01781  21.94357  21.908136 21.824247 21.810806],[21.87319  21.77795  21.607817 21.317448 21.302681 21.245434],[22 22 22 22 22 22],0.1219219701218341,0.5386242161104795
2020-05-19 11:30:00,[23.047379 22.987953 22.884424 22.837234 22.775066 22.75517 ],[22.848364 22.744904 22.565435 22.262766 22.237772 22.172464],[23 23 22 22 22 22],0.6654031979174653,0.3063522741351233
2020-05-19 11:45:00,[23.049967 22.976973 22.91913  22.83459  22.787146 22.668951],[22.943268 22.827984 22.652544 22.33808  22.323578 22.262287],[23 23 23 23 23 23],0.17880502510255705,0.5153380296875053
2020-05-19 12:00:00,[23.983177 23.936583 23.811634 23.761105 23.713385 23.678053],[23.855808 23.747204 23.551937 23.233643 23.200722 23.132755],[24 24 24 24 24 24],0.21704678030737287,0.6142367027432694
2020-05-19 12:15:00,[22.092125 21.966442 21.88311  21.914963 21.782915 21.855057],[21.734528 21.653473 21.484253 21.199844 21.168762 21.120749],[22 23 23 23 22 23],0.8999535864023803,1.393090253933065
2020-05-19 12:30:00,[23.041868 22.956163 22.8722   22.83408  22.758394 22.725317],[22.941956 22.84705  22.658312 22.349358 22.32857  22.274796],[23 23 22 23 23 22],0.47895634494169254,0.4847343903667382
2020-05-19 12:45:00,[21.175077 21.047747 21.009842 21.003336 20.883701 20.87875 ],[20.904814 20.829416 20.667442 20.384336 20.379835 20.333517],[21 21 21 21 21 21],0.10105017415917825,0.47549962727592454
2020-05-19 13:00:00,[19.217422 19.116802 19.09123  19.072578 18.955528 18.963383],[19.014383 18.949417 18.80264  18.541876 18.568943 18.527288],[19 19 19 19 19 19],0.11388917755326039,0.3318785425383254
2020-05-19 13:15:00,[19.210344 19.15011  19.093723 19.062529 18.966953 18.997097],[18.9859   18.91139  18.765965 18.51569  18.542591 18.488052],[19 19 19 19 19 19],0.11588227715754126,0.35793218177638736
2020-05-19 13:30:00,[19.208874 19.150938 19.091908 19.062319 18.967276 18.999626],[18.89696  18.803541 18.67536  18.437881 18.451506 18.394276],[19 19 19 19 19 19],0.11533442658773377,0.43557050914844964
2020-05-19 13:45:00,[20.171711 20.129177 20.050316 20.003014 19.925165 19.95345 ],[19.859861 19.757853 19.618809 19.368376 19.372898 19.308287],[20 20 20 20 20 20],0.0970217918405133,0.49904146042790043
