,prediction,real_values,metrics
2020-05-10 06:00:00,"[2.7545794068470735, 2.761289937855951, 2.767399746891393, 2.7729537354640303, 2.7780005752665287, 2.782592264408786]","[2, 2, 2, 2, 2, 3]",0.7056750099520693
2020-05-10 06:15:00,"[2.741912985989264, 2.746842036830909, 2.7513492229461654, 2.755489448324709, 2.759319830556047, 2.7628992224782083]","[2, 2, 3, 3, 3, 3]",0.47328008765639784
2020-05-10 06:30:00,"[2.75136487310389, 2.7552734341417273, 2.75894649787405, 2.762443626762332, 2.765825077755886, 2.7691513303637816]","[3, 3, 3, 3, 3, 3]",0.23957578557292208
2020-05-10 06:45:00,"[2.7574321871666116, 2.760452295514738, 2.7633804967630606, 2.7662766624918422, 2.7692002581298643, 2.7722099069828516]","[3, 3, 3, 3, 3, 3]",0.23522842858204263
2020-05-10 07:00:00,"[2.786005876190793, 2.7893138824634436, 2.7927243363044614, 2.796295006033534, 2.8000818221971455, 2.80413849769046]","[3, 3, 3, 3, 3, 3]",0.20533308565100006
2020-05-10 07:15:00,"[2.793802615645746, 2.7974554369411666, 2.801365893433685, 2.8055856397981045, 2.8101635048718796, 2.8151451923023822]","[3, 3, 3, 3, 3, 3]",0.19621557358119854
2020-05-10 07:30:00,"[2.807865750640131, 2.8123982119439352, 2.817324718942378, 2.8226878829343334, 2.8285267369638465, 2.834876532461728]","[3, 3, 3, 3, 3, 3]",0.179623998626219
2020-05-10 07:45:00,"[2.842519842708715, 2.8481779634113744, 2.8543271232900636, 2.860999629114099, 2.8682238426232263, 2.876024072949432]","[3, 3, 3, 3, 3, 3]",0.14208366490135788
2020-05-10 08:00:00,"[2.863992711238137, 2.8713073999207843, 2.879191560929755, 2.887665347466636, 2.896744790798466, 2.9064417965717877]","[3, 3, 3, 3, 3, 3]",0.11668211565177827
2020-05-10 08:15:00,"[2.8817602079789983, 2.8908679837639597, 2.900589716963487, 2.910932957495507, 2.9219012370737287, 2.933494162023971]","[3, 3, 3, 3, 3, 3]",0.09506859898192602
2020-05-10 08:30:00,"[2.9348518748839916, 2.945772564335099, 2.9573207284326606, 2.9694928189199046, 2.9822816023430083, 2.995676326687618]","[3, 3, 3, 3, 3, 3]",0.04137176386203922
2020-05-10 08:45:00,"[2.9645595311821302, 2.9770775972226233, 2.990194425462769, 3.003897182605865, 3.0181699498745673, 3.03299394122245]","[3, 3, 3, 3, 3, 3]",0.02349307677885166
2020-05-10 09:00:00,"[3.0036678582057528, 3.017937208964972, 3.032753903982301, 3.0480965539252494, 3.063941398995185, 3.080262563525589]","[3, 3, 3, 3, 3, 3]",0.04873717777357357
2020-05-10 09:15:00,"[3.0408485103815703, 3.0565704555043993, 3.0727741909023565, 3.089432512233295, 3.106516591715716, 3.123996241453902]","[3, 3, 3, 3, 3, 3]",0.08649077652910599
2020-05-10 09:30:00,"[3.078545990316384, 3.095666528121357, 3.113176391990791, 3.131044228128909, 3.149237898415634, 3.16772473251431]","[3, 3, 3, 3, 3, 3]",0.12629765031335205
2020-05-10 09:45:00,"[3.1554505480658426, 3.174095453013578, 3.1930264398613915, 3.2122102030210575, 3.2316134485431673, 3.251203110980302]","[3, 3, 3, 3, 3, 3]",0.20555383273732133
2020-05-10 10:00:00,"[3.190565381412128, 3.2094560327329154, 3.2285706723837615, 3.2478767898421603, 3.2673422067884172, 3.286935240966389]","[3, 3, 3, 3, 3, 3]",0.24072049403693685
2020-05-10 10:15:00,"[3.1986406038085584, 3.2175005664226544, 3.2365155291376433, 3.255655309643525, 3.274890297285585, 3.2941915510803734]","[3, 3, 3, 3, 3, 3]",0.24838718532988757
2020-05-10 10:30:00,"[3.2652358029023953, 3.2844334207646, 3.303715489045559, 3.323053211249216, 3.3424184630674882, 3.361783831414626]","[3, 3, 3, 3, 3, 3]",0.3151710705041236
2020-05-10 10:45:00,"[3.3376759999440275, 3.3573410349717197, 3.3770054528858076, 3.3966432041269856, 3.416228991607532, 3.4357382407822152]","[3, 3, 3, 3, 3, 3]",0.3882205187418648
2020-05-10 11:00:00,"[3.392444754662672, 3.4120374097334887, 3.431568571002542, 3.4510145841068924, 3.470352308948052, 3.489559030494931]","[3, 3, 3, 4, 4, 4]",0.4747807899105591
2020-05-10 11:15:00,"[3.4233797429511013, 3.4425258884029457, 3.46156887437349, 3.4804847930570073, 3.499249764994979, 3.5178398205973234]","[4, 4, 4, 4, 4, 4]",0.5301417530069543
2020-05-10 11:30:00,"[3.4883118300494993, 3.5069842157928575, 3.525458367161364, 3.543709837068698, 3.561713963720943, 3.5794457308312926]","[4, 4, 4, 4, 4, 4]",0.46676910133079386
2020-05-10 11:45:00,"[3.559208888448043, 3.577177485285401, 3.594859875187313, 3.6122325203394237, 3.6292712601131916, 3.6459511464113783]","[4, 4, 4, 4, 4, 4]",0.3979883187761965
2020-05-10 12:00:00,"[3.637083920626952, 3.654245895336012, 3.671032188378799, 3.687415849120653, 3.703368919663448, 3.7188622911281595]","[4, 4, 4, 4, 4, 4]",0.3225448452527293
2020-05-10 12:15:00,"[3.702057781977527, 3.717977595638777, 3.733421612754147, 3.748359737336651, 3.7627605475498793, 3.776591181524441]","[4, 4, 4, 4, 4, 5]",0.5561331907472513
2020-05-10 12:30:00,"[3.780612839932129, 3.795254947054004, 3.809311207351379, 3.8227464836365996, 3.835524109579798, 3.847605829362752]","[4, 4, 5, 5, 5, 5]",0.9641691872043826
2020-05-10 12:45:00,"[3.8338463416200312, 3.846669219948201, 3.8587839500775347, 3.870150835726546, 3.880728568513021, 3.890474229526202]","[5, 5, 5, 4, 4, 4]",0.8201161188106085
2020-05-10 13:00:00,"[3.896372391560914, 3.9067889059230856, 3.9163063861074234, 3.924880865956057, 3.932467251140725, 3.939019389030255]","[4, 4, 4, 4, 4, 4]",0.08200996045040787
2020-05-10 13:15:00,"[3.9435204915614666, 3.9514663603777938, 3.958394335527206, 3.9642563223075027, 3.969003226598134, 3.9725851041095863]","[4, 4, 4, 4, 4, 4]",0.04136517725827938
2020-05-10 13:30:00,"[3.9679096969242345, 3.9725572587057645, 3.976028821500997, 3.978273991592838, 3.9792419744814826, 3.9788817958950053]","[4, 4, 4, 4, 3, 3]",0.5656786401250271
2020-05-10 13:45:00,"[3.9926541793199926, 3.9937508421766954, 3.993528279586929, 3.9919350471684547, 3.9889199772615322, 3.9844324695308497]","[4, 3, 3, 3, 3, 3]",0.9042214225547818
2020-05-10 14:00:00,"[3.9836598792078703, 3.9807745139427926, 3.976449094154743, 3.9706331017209324, 3.963277031501675, 3.9543327410782387]","[3, 3, 3, 3, 3, 3]",0.9715743647046583
2020-05-10 14:15:00,"[3.931562908601829, 3.9238411991139808, 3.914577117969671, 3.9037248475162567, 3.8912404318323133, 3.8770821589284266]","[3, 3, 3, 3, 3, 3]",0.9071975657152678
2020-05-10 14:30:00,"[3.8625237458593418, 3.8505930786593066, 3.8370268795114293, 3.8217821658321847, 3.804818710211075, 3.7860994696738075]","[3, 3, 3, 3, 3, 3]",0.8275547570267967
2020-05-10 14:45:00,"[3.717344253713424, 3.69892781910849, 3.6788136114109875, 3.6569724277596336, 3.633378833382534, 3.6080115541429705]","[3, 3, 3, 3, 3, 3]",0.6666246271429676
2020-05-10 15:00:00,"[3.690122365835588, 3.667223221612469, 3.6425705296885384, 3.616145255867148, 3.5879331752380548, 3.557925247853273]","[3, 3, 3, 3, 3, 3]",0.6286140270434727
2020-05-10 15:15:00,"[3.621369730918147, 3.5931993665530513, 3.5632713916560643, 3.5315820118794705, 3.498133108271375, 3.462932552283885]","[3, 3, 3, 3, 3, 3]",0.5477656233147515
2020-05-10 15:30:00,"[3.4689010304406316, 3.435048794586409, 3.3994744337764846, 3.3621922750873754, 3.323223038303625, 3.282594064038165]","[3, 3, 3, 3, 3, 3]",0.38389044333707567
